_id,co_mun,no_mun,ano,variavel,social_categoria,social_subcategoria,valor
1,2700102,Água Branca,2004,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,959.47
2,2700102,Água Branca,2004,Assistência Social,Bolsa Família,Famílias beneficiárias,1892.0
3,2700102,Água Branca,2004,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,1275048.0
4,2700102,Água Branca,2005,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,924.45
5,2700102,Água Branca,2005,Assistência Social,Bolsa Família,Famílias beneficiárias,2063.0
6,2700102,Água Branca,2005,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,1793418.0
7,2700102,Água Branca,2006,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,880.44
8,2700102,Água Branca,2006,Assistência Social,Bolsa Família,Famílias beneficiárias,2812.0
9,2700102,Água Branca,2006,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,2269858.0
10,2700102,Água Branca,2007,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,936.06
11,2700102,Água Branca,2007,Assistência Social,Bolsa Família,Famílias beneficiárias,2707.0
12,2700102,Água Branca,2007,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,2561973.0
13,2700102,Água Branca,2008,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1092.1
14,2700102,Água Branca,2008,Assistência Social,Bolsa Família,Famílias beneficiárias,2589.0
15,2700102,Água Branca,2008,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,2916408.0
16,2700102,Água Branca,2009,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1186.14
17,2700102,Água Branca,2009,Assistência Social,Bolsa Família,Famílias beneficiárias,2801.0
18,2700102,Água Branca,2009,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,3150745.0
19,2700102,Água Branca,2010,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1276.28
20,2700102,Água Branca,2010,Assistência Social,Bolsa Família,Famílias beneficiárias,3042.0
21,2700102,Água Branca,2010,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,3966649.0
22,2700102,Água Branca,2011,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1511.51
23,2700102,Água Branca,2011,Assistência Social,Bolsa Família,Famílias beneficiárias,3089.0
24,2700102,Água Branca,2011,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,4662749.0
25,2700102,Água Branca,2012,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1982.94
26,2700102,Água Branca,2012,Assistência Social,Bolsa Família,Famílias beneficiárias,3190.0
27,2700102,Água Branca,2012,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,6268252.0
28,2700102,Água Branca,2013,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,2616.9
29,2700102,Água Branca,2013,Assistência Social,Bolsa Família,Famílias beneficiárias,3114.0
30,2700102,Água Branca,2013,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,8222730.0
31,2700102,Água Branca,2014,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,2833.13
